al - zaman : american forces killed shaikh abdullah al - ani , the preacher at the mosque in the town of qaim , near the syrian border .	al - zaman : american force kill shaikh abdullah al - ani , the preacher at the mosque in the town of qaim , near the syrian border .	PROPN PUNCT PROPN PUNCT ADJ NOUN VERB PROPN PROPN PROPN PUNCT PROPN PUNCT DET NOUN ADP DET NOUN ADP DET NOUN ADP PROPN PUNCT ADP DET ADJ NOUN PUNCT	NNP HYPH NNP : JJ NNS VBD NNP NNP NNP HYPH NNP , DT NN IN DT NN IN DT NN IN NNP , IN DT JJ NN .
[ this killing of a respected cleric will be causing us trouble for years to come . ]	[ this killing of a respected cleric will be cause we trouble for year to come . ]	PUNCT DET NOUN ADP DET ADJ NOUN AUX AUX VERB PRON NOUN ADP NOUN PART VERB PUNCT PUNCT	-LRB- DT NN IN DT JJ NN MD VB VBG PRP NN IN NNS TO VB . -RRB-
dpa : iraqi authorities announced that they had busted up 3 terrorist cells operating in baghdad .	dpa : iraqi authority announce that they have bust up 3 terrorist cell operate in baghdad .	PROPN PUNCT ADJ NOUN VERB SCONJ PRON AUX VERB ADP NUM ADJ NOUN VERB ADP PROPN PUNCT	NNP : JJ NNS VBD IN PRP VBD VBN RP CD JJ NNS VBG IN NNP .
two of them were being run by 2 officials of the ministry of the interior !	two of they be be run by 2 official of the ministry of the interior !	NUM ADP PRON AUX AUX VERB ADP NUM NOUN ADP DET PROPN ADP DET PROPN PUNCT	CD IN PRP VBD VBG VBN IN CD NNS IN DT NNP IN DT NNP .
the moi in iraq is equivalent to the us fbi , so this would be like having j. edgar hoover unwittingly employ at a high level members of the weathermen bombers back in the 1960s .	the moi in iraq be equivalent to the us fbi , so this would be like have j. edgar hoover unwittingly employ at a high level member of the weathermen bomber back in the 1960 .	DET PROPN ADP PROPN AUX ADJ ADP DET PROPN PROPN PUNCT ADV PRON AUX VERB SCONJ VERB PROPN PROPN PROPN ADV VERB ADP DET ADJ NOUN NOUN ADP DET PROPN NOUN ADV ADP DET NOUN PUNCT	DT NNP IN NNP VBZ JJ IN DT NNP NNP , RB DT MD VB IN VBG NNP NNP NNP RB VB IN DT JJ NN NNS IN DT NNPS NNS RB IN DT NNS .
the third was being run by the head of an investment firm .	the third be be run by the head of a investment firm .	DET ADJ AUX AUX VERB ADP DET NOUN ADP DET NOUN NOUN PUNCT	DT JJ VBD VBG VBN IN DT NN IN DT NN NN .
you wonder if he was manipulating the market with his bombing targets .	you wonder if he be manipulate the market with he bombing target .	PRON VERB SCONJ PRON AUX VERB DET NOUN ADP PRON NOUN NOUN PUNCT	PRP VBP IN PRP VBD VBG DT NN IN PRP$ NN NNS .
the cells were operating in the ghazaliyah and al - jihad districts of the capital .	the cell be operate in the ghazaliyah and al - jihad district of the capital .	DET NOUN AUX VERB ADP DET PROPN CCONJ PROPN PUNCT PROPN NOUN ADP DET NOUN PUNCT	DT NNS VBD VBG IN DT NNP CC NNP HYPH NNP NNS IN DT NN .
although the announcement was probably made to show progress in identifying and breaking up terror cells , i do n't find the news that the baathists continue to penetrate the iraqi government very hopeful .	although the announcement be probably make to show progress in identify and break up terror cell , i do not find the news that the baathists continue to penetrate the iraqi government very hopeful .	SCONJ DET NOUN AUX ADV VERB PART VERB NOUN SCONJ VERB CCONJ VERB ADP NOUN NOUN PUNCT PRON AUX PART VERB DET NOUN SCONJ DET PROPN VERB PART VERB DET ADJ NOUN ADV ADJ PUNCT	IN DT NN VBD RB VBN TO VB NN IN VBG CC VBG RP NN NNS , PRP VBP RB VB DT NN IN DT NNPS VBP TO VB DT JJ NN RB JJ .
it reminds me too much of the arvn officers who were secretly working for the other side in vietnam .	it remind i too much of the arvn officer who be secretly work for the other side in vietnam .	PRON VERB PRON ADV ADV ADP DET PROPN NOUN PRON AUX ADV VERB ADP DET ADJ NOUN ADP PROPN PUNCT	PRP VBZ PRP RB RB IN DT NNP NNS WP VBD RB VBG IN DT JJ NN IN NNP .
